class_folder,folder_code,item_id,sku,name,category,mapping_method,folder_code_matches_sku,photo_count,exact_unique_count,exact_duplicate_files,readable_count,format_mismatch_count,min_width,min_height,quality_flags,train,validation,test,object_detection_annotations,training_use,manual_visual_review
L003_beakers 250ml,L003,item-l003,L003,Beaker 250ml,Laboratory & Science Supplies,image_reference,True,60,60,0,60,60,3024,4032,,49,7,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L004_beakers 1000ml,L004,item-l004,L004,Beaker 1000ml,Laboratory & Science Supplies,image_reference,True,17,17,0,17,17,3024,4032,,11,2,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L005_conical flask 1000ML,L005,item-l005,L005,Conical flask 1000ml,Laboratory & Science Supplies,image_reference,True,39,39,0,39,39,3024,4032,,29,7,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L006_conical flask 5000ml,L006,item-l006,L006,Conical flask 5000ml,Laboratory & Science Supplies,image_reference,True,19,18,1,19,19,3024,4032,,14,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L007_pipettes 5ml,L007,item-l007,L007,Pipettes 5ml,Laboratory & Science Supplies,image_reference,True,27,27,0,27,27,3024,4032,,22,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L008_pipettes 10ml,L008,item-l008,L008,Pipettes 10ml,Laboratory & Science Supplies,image_reference,True,36,35,1,36,36,3024,4032,,25,3,8,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L009_ electric thermometer ,L009,item-l009,L009,Electric thermometer,Laboratory & Science Supplies,image_reference,True,27,27,0,27,27,3024,4032,,17,5,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L010_thermometer ,L010,item-l010,L010,Thermometer,Laboratory & Science Supplies,image_reference,True,22,20,2,22,22,3024,4032,low_contrast:3,16,2,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L011_gloves,L011,item-l011,L011,Gloves,Laboratory & Science Supplies,image_reference,True,38,38,0,38,38,3024,4032,,34,2,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L012_gloves LN,L012,item-l012,L012,Glove LN2,Laboratory & Science Supplies,image_reference,True,20,20,0,20,20,3024,4032,,16,1,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L013_petri dishes,L013,item-l013,L013,Petri dishes,Laboratory & Science Supplies,image_reference,True,22,22,0,22,22,3024,4032,,17,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L014_syringes 10ml,L014,item-l014,L014,Syringes 10ml,Laboratory & Science Supplies,image_reference,True,35,34,1,35,35,3024,4032,,22,7,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L015_syringes 60ml,L015,item-l015,L015,Syringes 60ml,Laboratory & Science Supplies,image_reference,True,22,22,0,22,22,3024,4032,,13,3,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L016_volumetric flask,L016,item-l016,L016,Volumetric flask,Laboratory & Science Supplies,image_reference,True,23,22,1,23,23,3024,4032,,17,3,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L017_bunsen burner,L017,item-l017,L017,Bunsen burner,Laboratory & Science Supplies,image_reference,True,23,23,0,23,23,3024,4032,,16,4,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L018_glass rod,L018,item-l018,L018,Glass rod,Laboratory & Science Supplies,image_reference,True,24,24,0,24,24,3024,3024,,16,4,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L019_Safety Goggle,L019,item-l019,L019,Safety Goggle,Laboratory & Science Supplies,image_reference,True,40,40,0,40,40,3024,3024,,27,7,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L020_Potassium Iodide,L020,item-l020,L020,Potassium Iodide,Laboratory & Science Supplies,image_reference,True,24,24,0,24,24,3024,4032,,20,3,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L021_Methylated Spirit Solution 95_,L021,item-l021,L021,Methylated spirit solution 95%,Laboratory & Science Supplies,image_reference,True,22,22,0,22,22,3024,4032,,17,4,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L022_Copper (II) Chloride 2-Hydrate,L022,item-l022,L022,Copper (II) Chloride 2-Hydrate,Laboratory & Science Supplies,image_reference,True,25,25,0,25,25,3024,4032,,19,2,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L023_Hydrogen Peroxide Solution 6_,L023,item-l023,L023,Hydrogen Peroxide Solution 6%,Laboratory & Science Supplies,image_reference,True,23,23,0,23,23,3024,4032,,20,2,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L024_Strontium Chloride 6-Hydrate AR,L024,item-l024,L024,Strontium Chloride 6-Hydrate AR,Laboratory & Science Supplies,image_reference,True,25,25,0,25,25,3024,4032,,16,2,7,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L025_Lithium Chloride,L025,item-l025,L025,Lithium Chloride,Laboratory & Science Supplies,image_reference,True,20,20,0,20,20,3024,4032,,11,4,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L026_universal indicator,L026,item-l026,L026,Universal indicator,Laboratory & Science Supplies,image_reference,True,28,28,0,28,28,3024,4032,,19,2,7,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S001_Pen,S001,item-s001,S001,Pen,Stationery & Office Supplies,image_reference,True,23,23,0,23,0,3060,3060,,15,3,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S002_PermanentMarker,S002,item-s002,S002,Permanent marker,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,3213,3213,,9,5,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S003_Ruler,S003,item-s003,S003,Ruler,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,2268,3213,,14,5,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S004_Paper,S004,item-s004,S004,Paper,Stationery & Office Supplies,image_reference,True,22,22,0,22,0,3213,3060,,14,3,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S005_StickyNote,S005,item-s005,S005,Sticky note,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,3060,3060,,11,6,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S006_Stapler,S006,item-s006,S006,Stapler,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,3060,3060,,14,2,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S007_BinderClip,S007,item-s007,S007,Binder clip,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,4080,3060,,12,3,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S008_TackIt,S008,item-s008,S008,Tack-it,Stationery & Office Supplies,image_reference,True,21,21,0,21,0,2268,3213,,15,5,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S009_CorrectionTape,S009,item-s009,S009,Correction tape,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,4080,3060,,16,1,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S010_PaperClip,S010,item-s010,S010,Paper clip,Stationery & Office Supplies,image_reference,True,21,21,0,21,0,2268,2268,,16,4,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S011_WhiteboardMarker,S011,item-s011,S011,Whiteboard marker,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,4080,3060,,16,1,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S012_Sellotape,S012,item-s012,S012,Sellotape,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,4080,3060,,14,3,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S013_ClipBoard,S013,item-s013,S013,Clipboard,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,4080,3060,,14,4,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S014_Pendrive,S014,item-s014,S014,Pendrive,Stationery & Office Supplies,image_reference,True,20,20,0,20,0,3213,3213,,15,3,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
S015_Eraser,S015,item-s015,S015,Eraser,Stationery & Office Supplies,image_reference,True,21,21,0,21,0,2268,2268,,16,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T001_Scissor,T001,item-t001,T001,Scissor,Tools & Equipment,image_reference,True,20,20,0,20,0,3213,3213,,16,3,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T002_Plier,T002,item-t002,T002,Plier,Tools & Equipment,image_reference,True,21,21,0,21,0,2268,2268,,17,2,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
